"ZIP
code [1]"	Size of adjusted gross income	Number of returns
10307	$25,000 under $50,000	990
10307	$50,000 under $75,000	810
10307	$75,000 under $100,000	740
10307	$100,000 under $200,000	1360
10307	$200,000 or more	480
		
10308		13,420
10308	$1 under $25,000	3850
10308	$25,000 under $50,000	2350
10308	$50,000 under $75,000	1980
10308	$75,000 under $100,000	1650
10308	$100,000 under $200,000	2990
10308	$200,000 or more	600
		
10309		14,710
10309	$1 under $25,000	4160
10309	$25,000 under $50,000	2570
10309	$50,000 under $75,000	2020
10309	$75,000 under $100,000	1660
10309	$100,000 under $200,000	3330
10309	$200,000 or more	970
		
10310		11,190
10310	$1 under $25,000	4340
10310	$25,000 under $50,000	2330
10310	$50,000 under $75,000	1390
10310	$75,000 under $100,000	1060
10310	$100,000 under $200,000	1710
10310	$200,000 or more	360
		
10312		28,790
10312	$1 under $25,000	8120
10312	$25,000 under $50,000	5030
10312	$50,000 under $75,000	4080
10312	$75,000 under $100,000	3540
10312	$100,000 under $200,000	6530
10312	$200,000 or more	1490
		
10314		40,120
10314	$1 under $25,000	12710
10314	$25,000 under $50,000	7890
10314	$50,000 under $75,000	5810
10314	$75,000 under $100,000	4690
10314	$100,000 under $200,000	7420
10314	$200,000 or more	1600
		
10451		22,920
10451	$1 under $25,000	12720
10451	$25,000 under $50,000	6260
10451	$50,000 under $75,000	2430
10451	$75,000 under $100,000	920
10451	$100,000 under $200,000	550
10451	$200,000 or more	40
		
10452		36,000
10452	$1 under $25,000	22500
10452	$25,000 under $50,000	9160
10452	$50,000 under $75,000	3060
10452	$75,000 under $100,000	830
10452	$100,000 under $200,000	420
10452	$200,000 or more	30
		
10453		37,240
10453	$1 under $25,000	24210
10453	$25,000 under $50,000	9060
10453	$50,000 under $75,000	2690
10453	$75,000 under $100,000	830
10453	$100,000 under $200,000	430
10453	$200,000 or more	20
		
10454		15,700
10454	$1 under $25,000	10240
10454	$25,000 under $50,000	3840
10454	$50,000 under $75,000	1090
10454	$75,000 under $100,000	330
10454	$100,000 under $200,000	200
10454	$200,000 or more	**
		
10455		17,590
10455	$1 under $25,000	10840
10455	$25,000 under $50,000	4670
10455	$50,000 under $75,000	1450
10455	$75,000 under $100,000	410
10455	$100,000 under $200,000	220
10455	$200,000 or more	**
		
10456		40,140
10456	$1 under $25,000	26050
10456	$25,000 under $50,000	9960
10456	$50,000 under $75,000	2860
10456	$75,000 under $100,000	840
10456	$100,000 under $200,000	410
10456	$200,000 or more	20
		
10457		32,280
10457	$1 under $25,000	20930
10457	$25,000 under $50,000	7840
10457	$50,000 under $75,000	2370
10457	$75,000 under $100,000	770
10457	$100,000 under $200,000	350
10457	$200,000 or more	20
		
10458		33,740
10458	$1 under $25,000	20690
10458	$25,000 under $50,000	8450
10458	$50,000 under $75,000	2920
10458	$75,000 under $100,000	1070
10458	$100,000 under $200,000	580
10458	$200,000 or more	30
		
10459		20,970
10459	$1 under $25,000	12670
10459	$25,000 under $50,000	5590
10459	$50,000 under $75,000	1760
10459	$75,000 under $100,000	630
10459	$100,000 under $200,000	320
10459	$200,000 or more	**
		
10460		24,590
10460	$1 under $25,000	15190
10460	$25,000 under $50,000	6170
10460	$50,000 under $75,000	2040
10460	$75,000 under $100,000	740
10460	$100,000 under $200,000	450
10460	$200,000 or more	**
		
10461		23,650
10461	$1 under $25,000	8800
10461	$25,000 under $50,000	6080
10461	$50,000 under $75,000	3970
10461	$75,000 under $100,000	2210
10461	$100,000 under $200,000	2300
10461	$200,000 or more	290
		
10462		38,820
10462	$1 under $25,000	16430
10462	$25,000 under $50,000	10890
10462	$50,000 under $75,000	6430
10462	$75,000 under $100,000	2870
10462	$100,000 under $200,000	2060
10462	$200,000 or more	140
		
10463		33,490
10463	$1 under $25,000	12830
10463	$25,000 under $50,000	7450
10463	$50,000 under $75,000	4930
10463	$75,000 under $100,000	3030
10463	$100,000 under $200,000	3950
10463	$200,000 or more	1300
		
10464		2,120
10464	$1 under $25,000	540
10464	$25,000 under $50,000	400
10464	$50,000 under $75,000	380
10464	$75,000 under $100,000	240
10464	$100,000 under $200,000	420
10464	$200,000 or more	140
		
10465		19,520
10465	$1 under $25,000	6410
10465	$25,000 under $50,000	4400
10465	$50,000 under $75,000	3220
10465	$75,000 under $100,000	2180
10465	$100,000 under $200,000	2880
10465	$200,000 or more	430
		
10466		32,230
10466	$1 under $25,000	15260
10466	$25,000 under $50,000	9170
10466	$50,000 under $75,000	4080
10466	$75,000 under $100,000	1930
10466	$100,000 under $200,000	1690
10466	$200,000 or more	100
		
10467		44,050
10467	$1 under $25,000	23150
10467	$25,000 under $50,000	11960
10467	$50,000 under $75,000	5360
10467	$75,000 under $100,000	2060
10467	$100,000 under $200,000	1430
10467	$200,000 or more	90
		
10468		35,610
10468	$1 under $25,000	21500
10468	$25,000 under $50,000	8760
10468	$50,000 under $75,000	3310
10468	$75,000 under $100,000	1250
10468	$100,000 under $200,000	740
10468	$200,000 or more	50
		
10469		31,710
10469	$1 under $25,000	13770
10469	$25,000 under $50,000	8280
10469	$50,000 under $75,000	4550
10469	$75,000 under $100,000	2450
10469	$100,000 under $200,000	2390
10469	$200,000 or more	270
		
10470		7,420
10470	$1 under $25,000	2940
10470	$25,000 under $50,000	1860
10470	$50,000 under $75,000	1140
10470	$75,000 under $100,000	640
10470	$100,000 under $200,000	740
10470	$200,000 or more	100
		
10471		9,820
10471	$1 under $25,000	2420
10471	$25,000 under $50,000	1640
10471	$50,000 under $75,000	1560
10471	$75,000 under $100,000	1280
10471	$100,000 under $200,000	1950
10471	$200,000 or more	970
		
10472		28,040
10472	$1 under $25,000	16520
10472	$25,000 under $50,000	7260
10472	$50,000 under $75,000	2660
10472	$75,000 under $100,000	950
10472	$100,000 under $200,000	620
10472	$200,000 or more	30
		
10473		27,590
10473	$1 under $25,000	13080
10473	$25,000 under $50,000	7530
10473	$50,000 under $75,000	3690
10473	$75,000 under $100,000	1800
10473	$100,000 under $200,000	1400
10473	$200,000 or more	90
		
10474		4,840
10474	$1 under $25,000	2980
10474	$25,000 under $50,000	1300
10474	$50,000 under $75,000	390
10474	$75,000 under $100,000	110
10474	$100,000 under $200,000	60
10474	$200,000 or more	**
		
10475		22,230
10475	$1 under $25,000	7350
10475	$25,000 under $50,000	6440
10475	$50,000 under $75,000	4530
10475	$75,000 under $100,000	2300
10475	$100,000 under $200,000	1540
10475	$200,000 or more	70
		
10501		680
10501	$1 under $25,000	190
10501	$25,000 under $50,000	80
10501	$50,000 under $75,000	70
10501	$75,000 under $100,000	60
10501	$100,000 under $200,000	150
10501	$200,000 or more	130
		
10502		2,860
10502	$1 under $25,000	730
10502	$25,000 under $50,000	280
10502	$50,000 under $75,000	270
10502	$75,000 under $100,000	270
10502	$100,000 under $200,000	610
10502	$200,000 or more	700
		
10504		5,400
10504	$1 under $25,000	1040
10504	$25,000 under $50,000	380
10504	$50,000 under $75,000	300
10504	$75,000 under $100,000	280
10504	$100,000 under $200,000	890
10504	$200,000 or more	2510
		
10505		560
10505	$1 under $25,000	180
10505	$25,000 under $50,000	80
10505	$50,000 under $75,000	60
10505	$75,000 under $100,000	30
10505	$100,000 under $200,000	100
10505	$200,000 or more	110
		
10506		2,800
10506	$1 under $25,000	770
10506	$25,000 under $50,000	240
10506	$50,000 under $75,000	210
10506	$75,000 under $100,000	150
10506	$100,000 under $200,000	440
10506	$200,000 or more	990
		
10507		2,680
10507	$1 under $25,000	900
10507	$25,000 under $50,000	470
10507	$50,000 under $75,000	320
10507	$75,000 under $100,000	240
10507	$100,000 under $200,000	400
10507	$200,000 or more	350
		
10509		9,960
10509	$1 under $25,000	3160
10509	$25,000 under $50,000	1730
10509	$50,000 under $75,000	1250
10509	$75,000 under $100,000	1020
