"ZIP
code [1]"	Size of adjusted gross income	Number of returns
14008	$50,000 under $75,000	110
14008	$75,000 under $100,000	60
14008	$100,000 under $200,000	80
14008	$200,000 or more	**
		
14009		2,630
14009	$1 under $25,000	980
14009	$25,000 under $50,000	730
14009	$50,000 under $75,000	400
14009	$75,000 under $100,000	270
14009	$100,000 under $200,000	220
14009	$200,000 or more	30
		
14011		2,890
14011	$1 under $25,000	1030
14011	$25,000 under $50,000	700
14011	$50,000 under $75,000	480
14011	$75,000 under $100,000	320
14011	$100,000 under $200,000	340
14011	$200,000 or more	20
		
14012		1,090
14012	$1 under $25,000	420
14012	$25,000 under $50,000	270
14012	$50,000 under $75,000	190
14012	$75,000 under $100,000	100
14012	$100,000 under $200,000	110
14012	$200,000 or more	**
		
14013		710
14013	$1 under $25,000	280
14013	$25,000 under $50,000	200
14013	$50,000 under $75,000	120
14013	$75,000 under $100,000	50
14013	$100,000 under $200,000	60
14013	$200,000 or more	**
		
14020		10,120
14020	$1 under $25,000	4260
14020	$25,000 under $50,000	2540
14020	$50,000 under $75,000	1400
14020	$75,000 under $100,000	900
14020	$100,000 under $200,000	880
14020	$200,000 or more	140
		
14024		720
14024	$1 under $25,000	250
14024	$25,000 under $50,000	200
14024	$50,000 under $75,000	120
14024	$75,000 under $100,000	80
14024	$100,000 under $200,000	70
14024	$200,000 or more	**
		
14025		1,560
14025	$1 under $25,000	470
14025	$25,000 under $50,000	340
14025	$50,000 under $75,000	260
14025	$75,000 under $100,000	190
14025	$100,000 under $200,000	250
14025	$200,000 or more	50
		
14026		380
14026	$1 under $25,000	140
14026	$25,000 under $50,000	90
14026	$50,000 under $75,000	50
14026	$75,000 under $100,000	50
14026	$100,000 under $200,000	50
14026	$200,000 or more	**
		
14028		710
14028	$1 under $25,000	240
14028	$25,000 under $50,000	180
14028	$50,000 under $75,000	110
14028	$75,000 under $100,000	80
14028	$100,000 under $200,000	100
14028	$200,000 or more	**
		
14030		770
14030	$1 under $25,000	290
14030	$25,000 under $50,000	220
14030	$50,000 under $75,000	120
14030	$75,000 under $100,000	70
14030	$100,000 under $200,000	70
14030	$200,000 or more	**
		
14031		4,840
14031	$1 under $25,000	1610
14031	$25,000 under $50,000	870
14031	$50,000 under $75,000	620
14031	$75,000 under $100,000	470
14031	$100,000 under $200,000	810
14031	$200,000 or more	460
		
14032		4,100
14032	$1 under $25,000	1230
14032	$25,000 under $50,000	620
14032	$50,000 under $75,000	380
14032	$75,000 under $100,000	440
14032	$100,000 under $200,000	940
14032	$200,000 or more	490
		
14033		1,160
14033	$1 under $25,000	350
14033	$25,000 under $50,000	240
14033	$50,000 under $75,000	170
14033	$75,000 under $100,000	150
14033	$100,000 under $200,000	220
14033	$200,000 or more	30
		
14034		870
14034	$1 under $25,000	310
14034	$25,000 under $50,000	220
14034	$50,000 under $75,000	150
14034	$75,000 under $100,000	110
14034	$100,000 under $200,000	80
14034	$200,000 or more	**
		
14036		2,410
14036	$1 under $25,000	850
14036	$25,000 under $50,000	600
14036	$50,000 under $75,000	370
14036	$75,000 under $100,000	280
14036	$100,000 under $200,000	280
14036	$200,000 or more	30
		
14037		590
14037	$1 under $25,000	190
14037	$25,000 under $50,000	140
14037	$50,000 under $75,000	100
14037	$75,000 under $100,000	70
14037	$100,000 under $200,000	90
14037	$200,000 or more	**
		
14040		1,130
14040	$1 under $25,000	410
14040	$25,000 under $50,000	260
14040	$50,000 under $75,000	190
14040	$75,000 under $100,000	110
14040	$100,000 under $200,000	160
14040	$200,000 or more	**
		
14041		110
14041	$1 under $25,000	60
14041	$25,000 under $50,000	30
14041	$50,000 under $75,000	20
14041	$75,000 under $100,000	**
14041	$100,000 under $200,000	**
14041	$200,000 or more	0
		
14042		1,710
14042	$1 under $25,000	700
14042	$25,000 under $50,000	470
14042	$50,000 under $75,000	280
14042	$75,000 under $100,000	150
14042	$100,000 under $200,000	110
14042	$200,000 or more	**
		
14043		13,020
14043	$1 under $25,000	4590
14043	$25,000 under $50,000	3590
14043	$50,000 under $75,000	2230
14043	$75,000 under $100,000	1330
14043	$100,000 under $200,000	1190
14043	$200,000 or more	90
		
14047		3,180
14047	$1 under $25,000	1080
14047	$25,000 under $50,000	740
14047	$50,000 under $75,000	500
14047	$75,000 under $100,000	380
14047	$100,000 under $200,000	420
14047	$200,000 or more	60
		
14048		6,470
14048	$1 under $25,000	3070
14048	$25,000 under $50,000	1670
14048	$50,000 under $75,000	780
14048	$75,000 under $100,000	510
14048	$100,000 under $200,000	400
14048	$200,000 or more	40
		
14051		10,110
14051	$1 under $25,000	2880
14051	$25,000 under $50,000	1360
14051	$50,000 under $75,000	1060
14051	$75,000 under $100,000	1090
14051	$100,000 under $200,000	2520
14051	$200,000 or more	1200
		
14052		9,050
14052	$1 under $25,000	2900
14052	$25,000 under $50,000	1640
14052	$50,000 under $75,000	1210
14052	$75,000 under $100,000	1030
14052	$100,000 under $200,000	1730
14052	$200,000 or more	540
		
14054		650
14054	$1 under $25,000	220
14054	$25,000 under $50,000	170
14054	$50,000 under $75,000	120
14054	$75,000 under $100,000	70
14054	$100,000 under $200,000	70
14054	$200,000 or more	**
		
14055		720
14055	$1 under $25,000	240
14055	$25,000 under $50,000	170
14055	$50,000 under $75,000	110
14055	$75,000 under $100,000	100
14055	$100,000 under $200,000	100
14055	$200,000 or more	**
		
14057		4,160
14057	$1 under $25,000	1400
14057	$25,000 under $50,000	910
14057	$50,000 under $75,000	610
14057	$75,000 under $100,000	460
14057	$100,000 under $200,000	680
14057	$200,000 or more	100
		
14058		1,040
14058	$1 under $25,000	340
14058	$25,000 under $50,000	280
14058	$50,000 under $75,000	170
14058	$75,000 under $100,000	120
14058	$100,000 under $200,000	130
14058	$200,000 or more	**
		
14059		4,960
14059	$1 under $25,000	1530
14059	$25,000 under $50,000	960
14059	$50,000 under $75,000	680
14059	$75,000 under $100,000	630
14059	$100,000 under $200,000	920
14059	$200,000 or more	240
		
14060		200
14060	$1 under $25,000	70
14060	$25,000 under $50,000	60
14060	$50,000 under $75,000	40
14060	$75,000 under $100,000	30
14060	$100,000 under $200,000	**
14060	$200,000 or more	**
		
14062		1,520
14062	$1 under $25,000	600
14062	$25,000 under $50,000	390
14062	$50,000 under $75,000	240
14062	$75,000 under $100,000	140
14062	$100,000 under $200,000	150
14062	$200,000 or more	**
		
14063		5,060
14063	$1 under $25,000	1850
14063	$25,000 under $50,000	1120
14063	$50,000 under $75,000	750
14063	$75,000 under $100,000	540
14063	$100,000 under $200,000	700
14063	$200,000 or more	100
		
14065		770
14065	$1 under $25,000	300
14065	$25,000 under $50,000	200
14065	$50,000 under $75,000	150
14065	$75,000 under $100,000	80
14065	$100,000 under $200,000	40
14065	$200,000 or more	**
		
14066		490
14066	$1 under $25,000	190
14066	$25,000 under $50,000	120
14066	$50,000 under $75,000	90
14066	$75,000 under $100,000	50
14066	$100,000 under $200,000	40
14066	$200,000 or more	**
		
14067		2,400
14067	$1 under $25,000	860
14067	$25,000 under $50,000	580
14067	$50,000 under $75,000	400
14067	$75,000 under $100,000	250
14067	$100,000 under $200,000	280
14067	$200,000 or more	30
		
14068		3,560
14068	$1 under $25,000	1130
14068	$25,000 under $50,000	580
14068	$50,000 under $75,000	420
14068	$75,000 under $100,000	370
14068	$100,000 under $200,000	770
14068	$200,000 or more	290
		
14069		430
14069	$1 under $25,000	120
14069	$25,000 under $50,000	110
14069	$50,000 under $75,000	60
14069	$75,000 under $100,000	60
14069	$100,000 under $200,000	80
14069	$200,000 or more	**
		
14070		2,310
14070	$1 under $25,000	910
14070	$25,000 under $50,000	650
14070	$50,000 under $75,000	350
14070	$75,000 under $100,000	210
14070	$100,000 under $200,000	190
14070	$200,000 or more	**
		
14072		10,590
14072	$1 under $25,000	3210
14072	$25,000 under $50,000	2060
14072	$50,000 under $75,000	1430
14072	$75,000 under $100,000	1280
14072	$100,000 under $200,000	2070
14072	$200,000 or more	540
		
14075		22,330
14075	$1 under $25,000	7620
14075	$25,000 under $50,000	4690
14075	$50,000 under $75,000	3260
14075	$75,000 under $100,000	2590
14075	$100,000 under $200,000	3510
14075	$200,000 or more	660
		
14080		2,110
14080	$1 under $25,000	670
14080	$25,000 under $50,000	490
14080	$50,000 under $75,000	340
14080	$75,000 under $100,000	260
14080	$100,000 under $200,000	320
14080	$200,000 or more	30
		
14081		1,230
14081	$1 under $25,000	510
14081	$25,000 under $50,000	350
14081	$50,000 under $75,000	180
14081	$75,000 under $100,000	80
14081	$100,000 under $200,000	110
14081	$200,000 or more	**
		
14082		240
14082	$1 under $25,000	80
14082	$25,000 under $50,000	60
14082	$50,000 under $75,000	50
14082	$75,000 under $100,000	30
14082	$100,000 under $200,000	20
14082	$200,000 or more	**
		
14085		3,790
14085	$1 under $25,000	1080
14085	$25,000 under $50,000	670
14085	$50,000 under $75,000	560
14085	$75,000 under $100,000	520
14085	$100,000 under $200,000	840
14085	$200,000 or more	120
		
14086		17,230
14086	$1 under $25,000	5490
14086	$25,000 under $50,000	3290
14086	$50,000 under $75,000	2450
14086	$75,000 under $100,000	1960
14086	$100,000 under $200,000	3500
14086	$200,000 or more	540
		
14091		590
14091	$1 under $25,000	210
14091	$25,000 under $50,000	170
14091	$50,000 under $75,000	100
14091	$75,000 under $100,000	50
14091	$100,000 under $200,000	60
14091	$200,000 or more	**
		
14092		5,610
14092	$1 under $25,000	1780
14092	$25,000 under $50,000	1160
14092	$50,000 under $75,000	840
14092	$75,000 under $100,000	660
14092	$100,000 under $200,000	930
14092	$200,000 or more	240
		
14094		24,660
14094	$1 under $25,000	9470
14094	$25,000 under $50,000	6050
14094	$50,000 under $75,000	3600
14094	$75,000 under $100,000	2370
14094	$100,000 under $200,000	2800
14094	$200,000 or more	370
		
14098		1,360
14098	$1 under $25,000	510
14098	$25,000 under $50,000	370
14098	$50,000 under $75,000	210
14098	$75,000 under $100,000	130
14098	$100,000 under $200,000	140
14098	$200,000 or more	**
		
14101		800
14101	$1 under $25,000	330
14101	$25,000 under $50,000	220
14101	$50,000 under $75,000	130
14101	$75,000 under $100,000	70
14101	$100,000 under $200,000	50
14101	$200,000 or more	**
		
14102		670
14102	$1 under $25,000	240
14102	$25,000 under $50,000	140
14102	$50,000 under $75,000	90
14102	$75,000 under $100,000	80
14102	$100,000 under $200,000	120
14102	$200,000 or more	**
		
14103		5,030
14103	$1 under $25,000	2160
14103	$25,000 under $50,000	1330
14103	$50,000 under $75,000	710
14103	$75,000 under $100,000	430
14103	$100,000 under $200,000	370
14103	$200,000 or more	30
		
14105		2,110
14105	$1 under $25,000	790
14105	$25,000 under $50,000	570
14105	$50,000 under $75,000	320
14105	$75,000 under $100,000	220
14105	$100,000 under $200,000	190
14105	$200,000 or more	20
		
14108		2,770
14108	$1 under $25,000	990
14108	$25,000 under $50,000	730
14108	$50,000 under $75,000	450
14108	$75,000 under $100,000	290
14108	$100,000 under $200,000	280
14108	$200,000 or more	30
		
14111		1,570
14111	$1 under $25,000	570
14111	$25,000 under $50,000	390
14111	$50,000 under $75,000	260
14111	$75,000 under $100,000	170
14111	$100,000 under $200,000	180
14111	$200,000 or more	**
		
14113		410
14113	$1 under $25,000	130
14113	$25,000 under $50,000	110
14113	$50,000 under $75,000	80
14113	$75,000 under $100,000	50
14113	$100,000 under $200,000	40
14113	$200,000 or more	**
		
14120		22,620
14120	$1 under $25,000	8190
14120	$25,000 under $50,000	5430
14120	$50,000 under $75,000	3320
14120	$75,000 under $100,000	2350
14120	$100,000 under $200,000	2940
14120	$200,000 or more	390
		
14125		1,750
14125	$1 under $25,000	660
14125	$25,000 under $50,000	440
14125	$50,000 under $75,000	280
14125	$75,000 under $100,000	180
14125	$100,000 under $200,000	190
14125	$200,000 or more	**
		
14127		15,640
14127	$1 under $25,000	4710
14127	$25,000 under $50,000	2810
14127	$50,000 under $75,000	2050
14127	$75,000 under $100,000	1660
14127	$100,000 under $200,000	3030
14127	$200,000 or more	1380
		
14129		590
14129	$1 under $25,000	200
14129	$25,000 under $50,000	170
14129	$50,000 under $75,000	100
14129	$75,000 under $100,000	60
14129	$100,000 under $200,000	60
14129	$200,000 or more	**
		
14131		2,610
14131	$1 under $25,000	950
14131	$25,000 under $50,000	630
14131	$50,000 under $75,000	380
14131	$75,000 under $100,000	280
14131	$100,000 under $200,000	330
14131	$200,000 or more	40
		
14132		2,920
14132	$1 under $25,000	1010
14132	$25,000 under $50,000	700
14132	$50,000 under $75,000	490
14132	$75,000 under $100,000	320
14132	$100,000 under $200,000	360
14132	$200,000 or more	40
		
14134		160
14134	$1 under $25,000	60
14134	$25,000 under $50,000	40
14134	$50,000 under $75,000	30
14134	$75,000 under $100,000	30
14134	$100,000 under $200,000	**
14134	$200,000 or more	**
		
14136		2,280
14136	$1 under $25,000	930
14136	$25,000 under $50,000	570
14136	$50,000 under $75,000	340
14136	$75,000 under $100,000	240
14136	$100,000 under $200,000	200
14136	$200,000 or more	**
		
14138		830
14138	$1 under $25,000	350
14138	$25,000 under $50,000	210
14138	$50,000 under $75,000	130
14138	$75,000 under $100,000	70
14138	$100,000 under $200,000	70
14138	$200,000 or more	**
		
14139		1,160
14139	$1 under $25,000	380
14139	$25,000 under $50,000	240
14139	$50,000 under $75,000	170
14139	$75,000 under $100,000	150
14139	$100,000 under $200,000	190
14139	$200,000 or more	30
		
14141		3,750
14141	$1 under $25,000	1380
14141	$25,000 under $50,000	950
14141	$50,000 under $75,000	620
14141	$75,000 under $100,000	350
14141	$100,000 under $200,000	380
14141	$200,000 or more	70
		
14143		650
14143	$1 under $25,000	210
14143	$25,000 under $50,000	170
14143	$50,000 under $75,000	90
14143	$75,000 under $100,000	100
14143	$100,000 under $200,000	80
14143	$200,000 or more	**
		
14145		770
14145	$1 under $25,000	240
14145	$25,000 under $50,000	190
14145	$50,000 under $75,000	150
14145	$75,000 under $100,000	100
14145	$100,000 under $200,000	90
14145	$200,000 or more	**
		
14150		22,100
14150	$1 under $25,000	8080
14150	$25,000 under $50,000	6010
14150	$50,000 under $75,000	3650
14150	$75,000 under $100,000	2290
14150	$100,000 under $200,000	1920
14150	$200,000 or more	150
		
14167		790
14167	$1 under $25,000	250
14167	$25,000 under $50,000	210
14167	$50,000 under $75,000	140
14167	$75,000 under $100,000	100
14167	$100,000 under $200,000	90
14167	$200,000 or more	**
		
14170		1,260
14170	$1 under $25,000	370
14170	$25,000 under $50,000	270
14170	$50,000 under $75,000	210
14170	$75,000 under $100,000	160
14170	$100,000 under $200,000	210
14170	$200,000 or more	40
		
14171		970
14171	$1 under $25,000	370
14171	$25,000 under $50,000	260
14171	$50,000 under $75,000	160
14171	$75,000 under $100,000	90
14171	$100,000 under $200,000	90
14171	$200,000 or more	**
		
14172		1,570
14172	$1 under $25,000	530
14172	$25,000 under $50,000	360
14172	$50,000 under $75,000	260
14172	$75,000 under $100,000	190
14172	$100,000 under $200,000	200
14172	$200,000 or more	30
		
14174		2,880
14174	$1 under $25,000	930
14174	$25,000 under $50,000	570
14174	$50,000 under $75,000	430
14174	$75,000 under $100,000	340
14174	$100,000 under $200,000	490
14174	$200,000 or more	120
		
14201		4,680
14201	$1 under $25,000	2580
14201	$25,000 under $50,000	1240
14201	$50,000 under $75,000	400
14201	$75,000 under $100,000	210
14201	$100,000 under $200,000	200
14201	$200,000 or more	50
		
14202		1,710
14202	$1 under $25,000	670
14202	$25,000 under $50,000	430
14202	$50,000 under $75,000	150
14202	$75,000 under $100,000	120
14202	$100,000 under $200,000	160
14202	$200,000 or more	180
		
14203		810
14203	$1 under $25,000	350
14203	$25,000 under $50,000	210
14203	$50,000 under $75,000	100
14203	$75,000 under $100,000	60
14203	$100,000 under $200,000	60
14203	$200,000 or more	30
		
14204		3,290
14204	$1 under $25,000	2030
14204	$25,000 under $50,000	750
14204	$50,000 under $75,000	280
14204	$75,000 under $100,000	130
14204	$100,000 under $200,000	100
14204	$200,000 or more	**
		
14206		9,430
14206	$1 under $25,000	4620
14206	$25,000 under $50,000	2830
14206	$50,000 under $75,000	1110
14206	$75,000 under $100,000	570
14206	$100,000 under $200,000	300
14206	$200,000 or more	**
		
14207		9,520
14207	$1 under $25,000	5820
14207	$25,000 under $50,000	2520
14207	$50,000 under $75,000	730
14207	$75,000 under $100,000	290
14207	$100,000 under $200,000	160
14207	$200,000 or more	**
		
14208		3,820
14208	$1 under $25,000	2310
14208	$25,000 under $50,000	980
14208	$50,000 under $75,000	340
14208	$75,000 under $100,000	110
14208	$100,000 under $200,000	80
14208	$200,000 or more	**
		
14209		3,480
14209	$1 under $25,000	1430
14209	$25,000 under $50,000	970
14209	$50,000 under $75,000	430
14209	$75,000 under $100,000	200
14209	$100,000 under $200,000	280
14209	$200,000 or more	170
		
14210		6,310
14210	$1 under $25,000	3280
14210	$25,000 under $50,000	1850
14210	$50,000 under $75,000	720
14210	$75,000 under $100,000	300
14210	$100,000 under $200,000	160
14210	$200,000 or more	**
		
14211		8,620
14211	$1 under $25,000	5630
14211	$25,000 under $50,000	2080
14211	$50,000 under $75,000	590
14211	$75,000 under $100,000	210
14211	$100,000 under $200,000	110
14211	$200,000 or more	**
		
14212		4,240
14212	$1 under $25,000	2590
14212	$25,000 under $50,000	1070
14212	$50,000 under $75,000	340
14212	$75,000 under $100,000	160
14212	$100,000 under $200,000	80
14212	$200,000 or more	**
		
14213		9,220
14213	$1 under $25,000	5780
14213	$25,000 under $50,000	2270
14213	$50,000 under $75,000	690
14213	$75,000 under $100,000	270
14213	$100,000 under $200,000	180
14213	$200,000 or more	30
		
14214		7,730
14214	$1 under $25,000	3560
14214	$25,000 under $50,000	1820
14214	$50,000 under $75,000	870
14214	$75,000 under $100,000	540
14214	$100,000 under $200,000	710
14214	$200,000 or more	230
		
14215		16,980
14215	$1 under $25,000	9510
14215	$25,000 under $50,000	4720
14215	$50,000 under $75,000	1570
14215	$75,000 under $100,000	680
14215	$100,000 under $200,000	470
14215	$200,000 or more	30
		
14216		11,260
14216	$1 under $25,000	4110
14216	$25,000 under $50,000	3200
14216	$50,000 under $75,000	1700
14216	$75,000 under $100,000	940
14216	$100,000 under $200,000	1020
14216	$200,000 or more	290
		
14217		11,800
14217	$1 under $25,000	4170
14217	$25,000 under $50,000	3180
14217	$50,000 under $75,000	1940
14217	$75,000 under $100,000	1270
14217	$100,000 under $200,000	1100
14217	$200,000 or more	140
		
14218		8,960
14218	$1 under $25,000	4240
14218	$25,000 under $50,000	2540
14218	$50,000 under $75,000	1160
14218	$75,000 under $100,000	570
14218	$100,000 under $200,000	450
14218	$200,000 or more	**
		
14219		6,160
14219	$1 under $25,000	2370
14219	$25,000 under $50,000	1720
14219	$50,000 under $75,000	990
14219	$75,000 under $100,000	600
14219	$100,000 under $200,000	450
14219	$200,000 or more	30
		
14220		11,730
14220	$1 under $25,000	4750
14220	$25,000 under $50,000	3350
14220	$50,000 under $75,000	1720
14220	$75,000 under $100,000	980
14220	$100,000 under $200,000	880
14220	$200,000 or more	50
		
14221		27,210
14221	$1 under $25,000	8100
14221	$25,000 under $50,000	4520
14221	$50,000 under $75,000	3820
14221	$75,000 under $100,000	3140
14221	$100,000 under $200,000	5470
14221	$200,000 or more	2160
		
14222		6,100
14222	$1 under $25,000	1860
14222	$25,000 under $50,000	1680
14222	$50,000 under $75,000	910
14222	$75,000 under $100,000	520
14222	$100,000 under $200,000	720
14222	$200,000 or more	410
		
14223		12,420
14223	$1 under $25,000	4200
14223	$25,000 under $50,000	3070
14223	$50,000 under $75,000	2120
14223	$75,000 under $100,000	1470
14223	$100,000 under $200,000	1440
14223	$200,000 or more	120
		
14224		21,550
14224	$1 under $25,000	7170
14224	$25,000 under $50,000	5260
14224	$50,000 under $75,000	3390
14224	$75,000 under $100,000	2610
14224	$100,000 under $200,000	2860
14224	$200,000 or more	260
		
14225		17,720
14225	$1 under $25,000	6910
14225	$25,000 under $50,000	5260
14225	$50,000 under $75,000	2860
14225	$75,000 under $100,000	1570
14225	$100,000 under $200,000	1060
14225	$200,000 or more	60
		
14226		14,530
14226	$1 under $25,000	4800
14226	$25,000 under $50,000	3090
14226	$50,000 under $75,000	2200
14226	$75,000 under $100,000	1520
14226	$100,000 under $200,000	2150
14226	$200,000 or more	770
		
14227		12,000
14227	$1 under $25,000	4250
14227	$25,000 under $50,000	3250
14227	$50,000 under $75,000	2060
14227	$75,000 under $100,000	1270
14227	$100,000 under $200,000	1110
14227	$200,000 or more	60
		
14228		9,230
14228	$1 under $25,000	3380
14228	$25,000 under $50,000	2070
14228	$50,000 under $75,000	1250
14228	$75,000 under $100,000	940
14228	$100,000 under $200,000	1270
14228	$200,000 or more	320
		
14301		5,080
14301	$1 under $25,000	3090
14301	$25,000 under $50,000	1280
14301	$50,000 under $75,000	400
14301	$75,000 under $100,000	190
14301	$100,000 under $200,000	120
14301	$200,000 or more	**
		
14303		2,450
14303	$1 under $25,000	1470
14303	$25,000 under $50,000	640
14303	$50,000 under $75,000	200
14303	$75,000 under $100,000	100
14303	$100,000 under $200,000	40
14303	$200,000 or more	**
		
14304		15,250
14304	$1 under $25,000	6240
14304	$25,000 under $50,000	3960
14304	$50,000 under $75,000	2230
14304	$75,000 under $100,000	1350
14304	$100,000 under $200,000	1340
14304	$200,000 or more	130
		
14305		7,290
14305	$1 under $25,000	3720
14305	$25,000 under $50,000	1760
14305	$50,000 under $75,000	850
14305	$75,000 under $100,000	470
14305	$100,000 under $200,000	440
14305	$200,000 or more	50
		
14411		5,510
14411	$1 under $25,000	2330
14411	$25,000 under $50,000	1480
14411	$50,000 under $75,000	780
14411	$75,000 under $100,000	490
14411	$100,000 under $200,000	390
14411	$200,000 or more	40
		
14414		3,470
14414	$1 under $25,000	1180
14414	$25,000 under $50,000	870
14414	$50,000 under $75,000	520
14414	$75,000 under $100,000	330
14414	$100,000 under $200,000	510
14414	$200,000 or more	60
		
14416		1,900
14416	$1 under $25,000	650
14416	$25,000 under $50,000	460
14416	$50,000 under $75,000	310
14416	$75,000 under $100,000	240
14416	$100,000 under $200,000	240
14416	$200,000 or more	**
		
14418		550
14418	$1 under $25,000	210
14418	$25,000 under $50,000	130
14418	$50,000 under $75,000	90
14418	$75,000 under $100,000	50
14418	$100,000 under $200,000	70
14418	$200,000 or more	**
		
14420		7,810
14420	$1 under $25,000	2890
14420	$25,000 under $50,000	1770
14420	$50,000 under $75,000	1190
14420	$75,000 under $100,000	830
14420	$100,000 under $200,000	990
14420	$200,000 or more	140
		
14422		1,070
14422	$1 under $25,000	350
14422	$25,000 under $50,000	290
14422	$50,000 under $75,000	160
14422	$75,000 under $100,000	120
14422	$100,000 under $200,000	130
14422	$200,000 or more	20
		
14423		2,340
14423	$1 under $25,000	830
14423	$25,000 under $50,000	560
14423	$50,000 under $75,000	370
14423	$75,000 under $100,000	270
14423	$100,000 under $200,000	280
14423	$200,000 or more	30
		
14424		13,470
14424	$1 under $25,000	4870
14424	$25,000 under $50,000	3050
14424	$50,000 under $75,000	1900
14424	$75,000 under $100,000	1300
14424	$100,000 under $200,000	1840
14424	$200,000 or more	510
		
14425		5,890
14425	$1 under $25,000	2020
14425	$25,000 under $50,000	1340
14425	$50,000 under $75,000	940
14425	$75,000 under $100,000	660
14425	$100,000 under $200,000	830
14425	$200,000 or more	100
		
14427		960
14427	$1 under $25,000	360
14427	$25,000 under $50,000	240
14427	$50,000 under $75,000	160
14427	$75,000 under $100,000	110
14427	$100,000 under $200,000	90
14427	$200,000 or more	**
		
14428		4,410
14428	$1 under $25,000	1390
14428	$25,000 under $50,000	1000
14428	$50,000 under $75,000	680
14428	$75,000 under $100,000	540
14428	$100,000 under $200,000	730
14428	$200,000 or more	70
		
14432		2,600
14432	$1 under $25,000	950
14432	$25,000 under $50,000	660
14432	$50,000 under $75,000	430
14432	$75,000 under $100,000	270
14432	$100,000 under $200,000	260
14432	$200,000 or more	30
		
14433		2,030
14433	$1 under $25,000	850
14433	$25,000 under $50,000	560
14433	$50,000 under $75,000	300
14433	$75,000 under $100,000	160
14433	$100,000 under $200,000	160
14433	$200,000 or more	**
		
14435		1,460
14435	$1 under $25,000	450
14435	$25,000 under $50,000	390
14435	$50,000 under $75,000	220
14435	$75,000 under $100,000	150
14435	$100,000 under $200,000	210
14435	$200,000 or more	40
		
14437		4,350
14437	$1 under $25,000	1720
14437	$25,000 under $50,000	1140
14437	$50,000 under $75,000	690
14437	$75,000 under $100,000	390
14437	$100,000 under $200,000	360
14437	$200,000 or more	50
		
14441		160
14441	$1 under $25,000	60
14441	$25,000 under $50,000	50
14441	$50,000 under $75,000	30
14441	$75,000 under $100,000	**
14441	$100,000 under $200,000	20
14441	$200,000 or more	**
		
14445		4,080
14445	$1 under $25,000	1620
14445	$25,000 under $50,000	1180
14445	$50,000 under $75,000	670
14445	$75,000 under $100,000	300
14445	$100,000 under $200,000	260
14445	$200,000 or more	50
		
14450		21,520
14450	$1 under $25,000	6400
14450	$25,000 under $50,000	3850
14450	$50,000 under $75,000	2860
14450	$75,000 under $100,000	2480
14450	$100,000 under $200,000	4610
14450	$200,000 or more	1320
		
14454		3,010
14454	$1 under $25,000	1010
14454	$25,000 under $50,000	590
14454	$50,000 under $75,000	440
14454	$75,000 under $100,000	350
14454	$100,000 under $200,000	510
14454	$200,000 or more	110
		
14456		8,880
14456	$1 under $25,000	3950
14456	$25,000 under $50,000	2100
14456	$50,000 under $75,000	1090
14456	$75,000 under $100,000	730
14456	$100,000 under $200,000	850
14456	$200,000 or more	160
		
14462		300
14462	$1 under $25,000	90
14462	$25,000 under $50,000	70
14462	$50,000 under $75,000	60
14462	$75,000 under $100,000	40
14462	$100,000 under $200,000	40
14462	$200,000 or more	**
		
14464		3,450
14464	$1 under $25,000	1250
14464	$25,000 under $50,000	910
14464	$50,000 under $75,000	540
14464	$75,000 under $100,000	370
14464	$100,000 under $200,000	350
14464	$200,000 or more	30
		
14466		860
14466	$1 under $25,000	330
14466	$25,000 under $50,000	180
14466	$50,000 under $75,000	120
14466	$75,000 under $100,000	110
14466	$100,000 under $200,000	120
14466	$200,000 or more	**
		
14467		4,800
14467	$1 under $25,000	1730
14467	$25,000 under $50,000	1130
14467	$50,000 under $75,000	720
14467	$75,000 under $100,000	550
14467	$100,000 under $200,000	590
14467	$200,000 or more	80
		
14468		9,280
14468	$1 under $25,000	2980
14468	$25,000 under $50,000	2060
14468	$50,000 under $75,000	1450
14468	$75,000 under $100,000	1180
14468	$100,000 under $200,000	1410
14468	$200,000 or more	200
		
14469		2,950
14469	$1 under $25,000	1060
14469	$25,000 under $50,000	690
14469	$50,000 under $75,000	460
14469	$75,000 under $100,000	300
14469	$100,000 under $200,000	390
14469	$200,000 or more	50
		
14470		3,710
14470	$1 under $25,000	1390
14470	$25,000 under $50,000	1020
14470	$50,000 under $75,000	580
14470	$75,000 under $100,000	390
14470	$100,000 under $200,000	300
14470	$200,000 or more	30
		
14471		1,360
14471	$1 under $25,000	490
14471	$25,000 under $50,000	330
14471	$50,000 under $75,000	190
14471	$75,000 under $100,000	150
14471	$100,000 under $200,000	170
14471	$200,000 or more	30
		
14472		4,280
14472	$1 under $25,000	1330
14472	$25,000 under $50,000	690
14472	$50,000 under $75,000	510
14472	$75,000 under $100,000	410
14472	$100,000 under $200,000	880
14472	$200,000 or more	460
		
14475		160
14475	$1 under $25,000	60
14475	$25,000 under $50,000	20
14475	$50,000 under $75,000	20
14475	$75,000 under $100,000	20
14475	$100,000 under $200,000	40
14475	$200,000 or more	**
		
14476		1,020
14476	$1 under $25,000	350
14476	$25,000 under $50,000	260
14476	$50,000 under $75,000	180
14476	$75,000 under $100,000	110
14476	$100,000 under $200,000	120
14476	$200,000 or more	**
		
14477		760
14477	$1 under $25,000	300
14477	$25,000 under $50,000	180
14477	$50,000 under $75,000	120
14477	$75,000 under $100,000	70
