"ZIP","0_25000","25000_50000","50000_75000","75000_100000","100000_200000","200000_","nbrReturns","medianInc","jl_benef"
11565,"1080","650","600","530","1340","590","4790","78066",90
11576,"1410","620","490","390","1120","2190","6220","117857",80
11580,"6720","4670","3460","2550","3970","730","22100","48180",530
11590,"9150","5720","3240","2130","3760","1340","25340","40385",750
11598,"1450","660","580","470","1210","1480","5850","87500",90
11691,"11040","6020","2750","1260","1250","290","22610","26100",590
11692,"4120","2350","1120","570","540","80","8780","27872",280
11693,"2290","1320","880","550","650","90","5780","36364",230
11694,"2680","1630","1240","900","1720","710","8880","52621",240
11697,"520","310","280","270","590","240","2210","74554",40
11709,"990","530","440","370","800","410","3540","64205",100
11710,"4670","2820","2250","1890","4380","1930","17940","66444",400
11727,"4270","3490","2320","1650","2640","350","14720","47135",580
11735,"5070","3330","2700","1950","3580","1060","17690","54120",470
11757,"7370","5180","3580","2500","4240","670","23540","46236",910
11797,"1160","520","450","330","790","1360","4610","88258",70
14202,"650","440","190","120","170","180","1750","37784",60
14221,"7720","4570","3790","3300","5760","2230","27370","59202",650
14226,"4690","3200","2150","1510","2260","840","14650","45586",360
