"ZIP","Borough","HousCond","IAO","NoiseResid","ConsumProt","Traffic","UrbInf","NoiseBiz","WaterSyst","NoiseConst","Sani","NoiseTraf","EnvProt","SocServ","Violation","Misdemeanor","Felony","medianInc","jlBenef"
"11385_201404","Queens","HousCond_[0,70]","H","H","M","VH","VH","H","H","M","VH","M","H","M","H","OC","VH",30885,2880
"11411_201404","Queens","HousCond_[0,70]","L","L","VL","L","L","L","M","VL","L","M","MH","VL","M","M","M",38599,570
"11412_201404","Queens","HousCond_[0,70]","M","M","L","M","M","L","H","VL","H","M","MH","L","M","H","M",32419,1050
"11413_201404","Queens","HousCond_[0,70]","M","L","VL","M","M","VL","H","L","H","L","H","VL","L","M","ML",35461,1110
"11414_201404","Queens","HousCond_[0,70]","MH","L","VL","M","H","L","H","VL","H","VL","H","M","MH","H","M",49081,780
"11415_201404","Queens","HousCond_[0,70]","L","M","VL","M","L","M","M","L","L","VL","L","M","L","M","ML",45327,460
"11416_201404","Queens","HousCond_[0,70]","MH","M","L","H","L","L","L","VL","L","L","MH","VL","MH","VH","H",24104,710
"11417_201404","Queens","HousCond_[0,70]","MH","M","VL","H","M","M","M","VL","M","L","MH","VL","L","M","ML",29508,930
"11418_201404","Queens","HousCond_[0,70]","MH","M","L","VH","M","M","H","L","M","M","MH","M","M","H","H",27102,930
"11419_201404","Queens","HousCond_[0,70]","H","VH","M","VH","M","M","H","M","H","H","MH","L","MH","VH","H",23527,1050
"11420_201404","Queens","HousCond_[0,70]","H","M","M","VH","H","L","H","VL","M","L","H","L","M","H","H",29318,1130
"11421_201404","Queens","HousCond_[0,70]","M","H","L","VH","M","M","M","L","L","L","H","L","M","H","M",27144,1190
"11422_201404","Queens","HousCond_[0,70]","L","L","VL","M","L","L","H","L","H","VL","MH","L","M","H","M",36361,870
"11423_201404","Queens","HousCond_[0,70]","M","M","VL","H","M","M","M","L","H","L","M","M","M","M","M",31312,780
"11426_201404","Queens","HousCond_[0,70]","M","L","VL","L","M","VL","M","L","L","VL","M","VL","M","M","M",43238,360
"11427_201404","Queens","HousCond_[0,70]","M","L","VL","M","M","VL","L","VL","L","VL","L","L","L","M","ML",39305,510
"11428_201404","Queens","HousCond_[0,70]","L","M","VL","L","L","L","MH","VL","L","M","M","VL","M","M","M",33907,530
"11429_201404","Queens","HousCond_[0,70]","M","M","VL","M","L","L","M","VL","L","VL","M","L","MH","H","M",31918,690
"11430_201404","Queens","HousCond_[0,70]","L","L","H","L","L","VL","L","VL","L","VL","L","VL","L","M","ML",40625,0
"11432_201404","Queens","HousCond_[0,70]","H","M","H","H","VH","M","MH","L","VH","L","MH","MH","M","H","M",25019,1160
"11433_201404","Queens","HousCond_[0,70]","M","M","L","H","H","L","H","VL","VH","VL","MH","L","H","OC","VH",24135,890
"11434_201404","Queens","HousCond_[0,70]","H","M","M","H","H","L","H","M","VH","M","H","M","H","OC","VH",32680,1690
"11435_201404","Queens","HousCond_[0,70]","M","H","H","H","H","M","MH","M","H","VL","MH","MH","MH","VH","H",27898,1300
"11436_201404","Queens","HousCond_[0,70]","L","L","L","M","L","VL","M","VL","M","VL","M","L","L","M","ML",29488,470
"11691_201404","Queens","HousCond_[0,70]","MH","H","L","M","M","VL","H","L","H","L","MH","M","H","VH","VH",24391,1310
"11692_201404","Queens","HousCond_[0,70]","M","L","VL","L","L","VL","M","L","L","VL","L","VL","M","H","M",25673,510
"11693_201404","Queens","HousCond_[0,70]","L","L","VL","L","L","VL","M","L","L","VL","M","VL","M","M","ML",34300,370
"11694_201404","Queens","HousCond_[0,70]","M","L","VL","L","L","VL","MH","L","M","VL","H","VL","MH","M","ML",50217,470
"11697_201404","Queens","HousCond_[0,70]","L","L","VL","L","L","VL","L","VL","L","VL","L","VL","L","M","ML",68981,90
"99999_201404","99999","HousCond_[0,70]","H","L","VL","L","VH","VL","L","VL","M","VL","L","MH","H","OC","VH",NA,NA
"10001_201804","Manhattan","HousCond_[70,200]","H","H","H","H","VH","H","MH","H","VH","M","MH","MH","M","VH","H",63077,420
"10002_201804","Manhattan","HousCond_[200,350]","H","VH","H","VH","VH","H","H","H","VH","H","MH","MH","H","OC","VH",24894,920
"10003_201804","Manhattan","HousCond_[70,200]","H","VH","H","H","VH","H","H","H","VH","L","H","MH","M","VH","H",86413,640
"10004_201804","Manhattan","HousCond_[0,70]","M","L","L","L","M","VL","L","H","L","VL","L","L","M","H","ML",125000,60
"10005_201804","Manhattan","HousCond_[0,70]","MH","L","M","L","M","VL","L","H","L","H","L","VL","L","M","ML",100735,100
"10006_201804","Manhattan","HousCond_[0,70]","L","L","L","L","L","L","L","H","L","VL","L","M","L","H","ML",100806,50
"10007_201804","Manhattan","HousCond_[0,70]","H","L","M","M","H","M","L","H","L","VL","L","MH","M","H","M",174576,60
"10009_201804","Manhattan","HousCond_[200,350]","H","VH","H","H","VH","H","MH","H","VH","M","MH","MH","H","OC","VH",49944,870
