"ZIP","offCat"
"11201","MISDEMEANOR"
"11103","MISDEMEANOR"
"11432","MISDEMEANOR"
"11365","MISDEMEANOR"
"11215","MISDEMEANOR"
"10456","MISDEMEANOR"
"10473","VIOLATION"
"11203","VIOLATION"
"10013","FELONY"
"10453","MISDEMEANOR"
"10043","FELONY"
"11373","MISDEMEANOR"
"10037","MISDEMEANOR"
"11373","MISDEMEANOR"
"10305","MISDEMEANOR"
"10455","VIOLATION"
"11203","FELONY"
"10463","MISDEMEANOR"
"11214","MISDEMEANOR"
"11234","MISDEMEANOR"
"10467","MISDEMEANOR"
"10036","FELONY"
"11416","MISDEMEANOR"
"11415","FELONY"
"11208","FELONY"
"11233","MISDEMEANOR"
"10309","FELONY"
"10314","MISDEMEANOR"
"10003","MISDEMEANOR"
"11373","MISDEMEANOR"
"11236","VIOLATION"
"11207","MISDEMEANOR"
"10037","FELONY"
"11236","MISDEMEANOR"
"11220","MISDEMEANOR"
"11414","FELONY"
"10472","MISDEMEANOR"
"10009","MISDEMEANOR"
"11430","FELONY"
"11434","MISDEMEANOR"
"11360","FELONY"
"11207","MISDEMEANOR"
"10465","MISDEMEANOR"
"10027","VIOLATION"
"11223","VIOLATION"
"10040","VIOLATION"
"10009","MISDEMEANOR"
"11219","FELONY"
"10022","FELONY"
"00083","FELONY"
"11222","VIOLATION"
"11214","MISDEMEANOR"
"10065","MISDEMEANOR"
"11222","MISDEMEANOR"
"10036","FELONY"
"10039","FELONY"
"10454","FELONY"
"11221","VIOLATION"
"11229","FELONY"
"11209","MISDEMEANOR"
"11220","MISDEMEANOR"
"11357","FELONY"
"11364","MISDEMEANOR"
"10456","FELONY"
"11233","MISDEMEANOR"
"11104","MISDEMEANOR"
"10040","MISDEMEANOR"
"11226","FELONY"
"10451","MISDEMEANOR"
"10473","MISDEMEANOR"
"10016","FELONY"
"10306","FELONY"
"10475","MISDEMEANOR"
"10013","MISDEMEANOR"
"11691","FELONY"
"10314","VIOLATION"
"11370","MISDEMEANOR"
"10456","MISDEMEANOR"
"11207","FELONY"
"11236","FELONY"
"10458","FELONY"
"10025","MISDEMEANOR"
"10458","FELONY"
"10458","FELONY"
"11223","MISDEMEANOR"
"10460","FELONY"
"10456","MISDEMEANOR"
"11358","MISDEMEANOR"
"10031","FELONY"
"11223","FELONY"
"10303","MISDEMEANOR"
"10473","MISDEMEANOR"
"11249","MISDEMEANOR"
"11368","FELONY"
"10309","MISDEMEANOR"
"11220","FELONY"
"10027","MISDEMEANOR"
"11226","MISDEMEANOR"
"11238","MISDEMEANOR"
"11414","FELONY"
"10031","MISDEMEANOR"
"10459","FELONY"
"10464","FELONY"
"10468","MISDEMEANOR"
"10468","FELONY"
"11235","FELONY"
"11414","FELONY"
"11385","VIOLATION"
"11354","MISDEMEANOR"
"10306","FELONY"
"10001","FELONY"
"10466","MISDEMEANOR"
"10023","MISDEMEANOR"
"11220","MISDEMEANOR"
"10460","FELONY"
"10029","MISDEMEANOR"
"10029","MISDEMEANOR"
"11204","FELONY"
"10035","FELONY"
"10456","FELONY"
