"ZIP","Borough","HousCond","Sani","NoiseResid","NoiseConst","NoiseBiz","UrbInf","Traffic","NoiseTraf","WaterSyst","ConsumProt","SocServ","IAO","EnvProt"
"11415","Queens","2","12","58","3","13","30","32","4","29","3","10","6","13"
"11416","Queens","1","17","39","1","7","21","78","5","13","6","0","27","36"
"11417","Queens","1","29","31","1","12","37","77","6","20","3","2","31","40"
"11418","Queens","5","29","39","4","13","38","102","13","56","8","7","27","40"
"11419","Queens","12","40","129","7","10","52","142","32","66","15","5","52","36"
"11420","Queens","8","26","55","0","5","57","118","11","62","17","6","44","71"
"11421","Queens","2","16","69","3","12","47","128","7","28","7","4","22","46"
"11422","Queens","3","32","15","2","4","33","29","4","53","5","5","14","36"
"11423","Queens","5","35","41","2","17","42","56","7","21","4","8","22","21"
"11426","Queens","0","17","12","2","2","46","15","0","20","1","1","19","23"
"11427","Queens","2","16","19","1","0","35","25","1","15","3","4","16","16"
"11428","Queens","0","14","35","0","4","18","24","16","43","3","1","10","18"
"11429","Queens","6","16","45","1","4","21","41","2","28","5","6","22","26"
"11430","Queens","0","2","0","0","0","7","2","0","1","27","0","3","1"
"11432","Queens","16","65","57","3","12","89","68","8","37","36","20","41","41"
"11433","Queens","2","59","60","0","6","59","61","3","47","12","6","16","27"
"11434","Queens","7","69","54","6","4","58","74","16","71","21","9","43","46"
"11435","Queens","5","39","64","16","21","71","66","3","39","25","12","21","40"
"11436","Queens","3","29","18","1","1","16","35","0","26","6","3","14","20"
"11691","Queens","2","37","96","5","2","34","51","6","91","8","7","26","30"
"11692","Queens","5","10","24","3","1","9","15","3","26","0","0","16","13"
"11693","Queens","1","7","27","4","1","25","19","2","23","1","0","6","18"
"11694","Queens","4","21","15","3","1","29","10","1","35","2","1","19","93"
"11695","Queens","0","0","0","0","0","0","0","0","1","0","0","0","0"
"11697","Queens","1","1","0","0","0","1","1","0","0","1","0","8","1"
"99999","99999","0","28","0","1","0","241","3","0","15","4","1358","1170","4"
