"ZIP","Date","offCat","planeX","planeY","GPS"
"11221",2015-04-01,"MISDEMEANOR",1005444,193844,"(40.69871661, -73.923567749)"
"11221",2015-04-01,"MISDEMEANOR",1005779,194292,"(40.699945456, -73.922358179)"
"11233",2015-04-01,"MISDEMEANOR",1004595,185427,"(40.67561587, -73.926654982)"
"11368",2015-04-01,"FELONY",1023987,215109,"(40.757019946, -73.856569098)"
"11222",2015-04-01,"MISDEMEANOR",997540,205387,"(40.730414787, -73.952049812)"
"11422",2015-04-01,"MISDEMEANOR",1055968,187769,"(40.681776977, -73.741424173)"
"10474",2015-04-01,"MISDEMEANOR",1014970,238620,"(40.821587212, -73.889008768)"
"10019",2015-04-01,"VIOLATION",990319,217877,"(40.764704604, -73.978092624)"
"10022",2015-04-01,"MISDEMEANOR",991707,216641,"(40.761311039, -73.973083376)"
"11377",2015-04-01,"FELONY",1005961,218085,"(40.765250936, -73.921625034)"
"11221",2015-04-01,"FELONY",1004753,194222,"(40.699755759, -73.926058608)"
"11415",2015-04-01,"FELONY",1030140,198621,"(40.711734726, -73.834472096)"
"10463",2015-04-01,"FELONY",1006923,259361,"(40.878539423, -73.91801277)"
"10014",2015-04-01,"MISDEMEANOR",983452,206672,"(40.733951744, -74.002880864)"
"11377",2015-04-01,"VIOLATION",1013872,216709,"(40.761451206, -73.893072518)"
"11203",2015-04-01,"FELONY",1003935,178858,"(40.65758692, -73.92905355)"
"10303",2015-04-01,"MISDEMEANOR",942373,171394,"(40.63702273, -74.150886405)"
"10303",2015-04-01,"MISDEMEANOR",940132,171335,"(40.636849908, -74.158960439)"
"10002",2015-04-01,"FELONY",986985,204238,"(40.727270622, -73.990133762)"
"11365",2015-04-01,"MISDEMEANOR",1036001,211872,"(40.748073064, -73.813229093)"
"10475",2015-04-01,"FELONY",1030003,261771,"(40.885064646, -73.834536001)"
"10036",2015-04-01,"FELONY",985294,217509,"(40.76369656, -73.996232713)"
"11234",2015-04-01,"FELONY",1003163,168482,"(40.629108718, -73.931865047)"
"10454",2015-04-01,"MISDEMEANOR",1010423,233532,"(40.807636722, -73.905457101)"
"11214",2015-04-01,"MISDEMEANOR",983975,162284,"(40.612116678, -74.00099191)"
"11214",2015-04-01,"MISDEMEANOR",983975,162284,"(40.612116678, -74.00099191)"
"11214",2015-04-01,"MISDEMEANOR",983975,162284,"(40.612116678, -74.00099191)"
"10013",2015-04-01,"MISDEMEANOR",984870,200431,"(40.716821726, -73.997764882)"
"10452",2015-04-01,"MISDEMEANOR",1005588,242038,"(40.830996292, -73.922895448)"
"10462",2015-04-01,"MISDEMEANOR",1020008,252680,"(40.860158821, -73.870731317)"
"00083",2015-04-01,"FELONY",993950,228963,"(40.795129507, -73.96496887)"
"11214",2015-04-01,"MISDEMEANOR",983754,160995,"(40.608578628, -74.001787791)"
"11214",2015-04-01,"MISDEMEANOR",983754,160995,"(40.608578628, -74.001787791)"
"11214",2015-04-01,"MISDEMEANOR",983754,160995,"(40.608578628, -74.001787791)"
"11214",2015-04-01,"MISDEMEANOR",983754,160995,"(40.608578628, -74.001787791)"
"11214",2015-04-01,"MISDEMEANOR",983919,158310,"(40.601208857, -74.001193409)"
"11214",2015-04-01,"MISDEMEANOR",983754,160995,"(40.608578628, -74.001787791)"
"11214",2015-04-01,"MISDEMEANOR",983005,160922,"(40.608378184, -74.004485312)"
"10036",2015-04-01,"MISDEMEANOR",985148,216548,"(40.761058877, -73.996759886)"
"11204",2015-04-01,"MISDEMEANOR",985078,167368,"(40.62607117, -73.997018606)"
"11214",2015-04-01,"MISDEMEANOR",983735,161202,"(40.6091468, -74.001856236)"
"10461",2015-04-01,"FELONY",1026007,247921,"(40.847070463, -73.84907378)"
"10468",2015-04-01,"VIOLATION",1015633,260449,"(40.881498971, -73.886511145)"
"11422",2015-04-01,"FELONY",1057656,176267,"(40.650192843, -73.735463406)"
"11422",2015-04-01,"FELONY",1057656,176267,"(40.650192843, -73.735463406)"
"10457",2015-04-01,"FELONY",1010845,249071,"(40.850285555, -73.903871122)"
"11221",2015-04-01,"VIOLATION",1005444,193844,"(40.69871661, -73.923567749)"
"10452",2015-04-01,"FELONY",1007818,245734,"(40.841135071, -73.914824242)"
"11414",2015-04-01,"FELONY",1026452,184677,"(40.673480079, -73.84786237)"
"10075",2015-04-01,"MISDEMEANOR",998701,220081,"(40.770744285, -73.947829236)"
"11233",2015-04-01,"FELONY",1007585,183788,"(40.671109808, -73.91588131)"
"11435",2015-04-01,"FELONY",1038076,191879,"(40.69318484, -73.805900205)"
"11226",2015-04-01,"MISDEMEANOR",995678,176383,"(40.65080809, -73.958817288)"
"10016",2015-04-01,"FELONY",988680,210670,"(40.74492419, -73.98401409)"
"11216",2015-04-01,"FELONY",996546,187436,"(40.681144959, -73.955669038)"
"11203",2015-04-01,"MISDEMEANOR",1001004,179354,"(40.658954362, -73.939616107)"
"10462",2015-04-01,"MISDEMEANOR",1023622,253318,"(40.861894559, -73.85766248)"
"11228",2015-04-01,"MISDEMEANOR",977048,166997,"(40.625049963, -74.025945947)"
"11356",2015-04-01,"MISDEMEANOR",1028046,224108,"(40.781700651, -73.841859359)"
"11215",2015-04-01,"MISDEMEANOR",991984,184236,"(40.672366841, -73.972120695)"
"11368",2015-04-01,"FELONY",1020881,217097,"(40.762489904, -73.867769484)"
"10455",2015-04-01,"FELONY",1011957,237684,"(40.819028122, -73.899898721)"
"10004",2015-04-01,"FELONY",980765,195234,"(40.702556525, -74.012570415)"
"11372",2015-04-01,"FELONY",1018630,214603,"(40.755653558, -73.87590797)"
"11207",2015-04-01,"MISDEMEANOR",1013962,187496,"(40.681268322, -73.892876594)"
"10037",2015-04-01,"VIOLATION",1000404,235537,"(40.813163889, -73.941643752)"
"10458",2015-04-01,"MISDEMEANOR",1018173,256408,"(40.870398284, -73.877346218)"
"10458",2015-04-01,"MISDEMEANOR",1018173,256408,"(40.870398284, -73.877346218)"
"10458",2015-04-01,"MISDEMEANOR",1018862,257382,"(40.873068939, -73.874849976)"
"10458",2015-04-01,"MISDEMEANOR",1016117,255021,"(40.866599056, -73.884786675)"
"10458",2015-04-01,"MISDEMEANOR",1013501,253946,"(40.863657565, -73.894249476)"
"10029",2015-04-01,"MISDEMEANOR",999449,230611,"(40.799645073, -73.945104921)"
"10035",2015-04-01,"VIOLATION",1001949,231211,"(40.801287255, -73.936073714)"
"10306",2015-04-01,"MISDEMEANOR",953938,143487,"(40.56047084, -74.109091947)"
"10459",2015-04-01,"FELONY",1015073,239579,"(40.824219035, -73.88863222)"
"10030",2015-04-01,"MISDEMEANOR",998681,239359,"(40.823657187, -73.947860017)"
"10002",2015-04-01,"VIOLATION",987146,200441,"(40.716848721, -73.989554519)"
"11222",2015-04-01,"FELONY",1002116,207163,"(40.735281412, -73.935534441)"
"11233",2015-04-01,"MISDEMEANOR",1001789,188505,"(40.684070285, -73.936762975)"
"11222",2015-04-01,"FELONY",1002332,203924,"(40.726390712, -73.934763739)"
"10306",2015-04-01,"FELONY",954801,148466,"(40.574140128, -74.106007765)"
"10025",2015-04-01,"FELONY",993460,231058,"(40.800880236, -73.966735684)"
"11357",2015-04-01,"MISDEMEANOR",1034822,225635,"(40.785855679, -73.817380609)"
"11364",2015-04-01,"FELONY",1047773,212576,"(40.749928634, -73.77073679)"
"11694",2015-04-01,"FELONY",1027335,149141,"(40.575937096, -73.844905959)"
"11420",2015-04-01,"FELONY",1037855,187321,"(40.680675543, -73.80673341)"
"10306",2015-04-01,"MISDEMEANOR",950048,145326,"(40.565504384, -74.123101034)"
"11234",2015-04-01,"FELONY",999607,168806,"(40.630004907, -73.94467523)"
"11102",2015-04-01,"MISDEMEANOR",1007492,220447,"(40.771730119, -73.916089979)"
"11230",2015-04-01,"VIOLATION",993830,165551,"(40.621078744, -73.965492475)"
"11374",2015-04-01,"MISDEMEANOR",1024406,203409,"(40.724904502, -73.855126546)"
"11368",2015-04-01,"MISDEMEANOR",1020922,214560,"(40.755526326, -73.867635318)"
"10465",2015-04-01,"FELONY",1037649,236930,"(40.816840665, -73.807082218)"
"11214",2015-04-01,"FELONY",984036,160462,"(40.607115663, -74.000772147)"
"10474",2015-04-01,"MISDEMEANOR",1014216,238784,"(40.822039935, -73.891732267)"
"11232",2015-04-01,"VIOLATION",982758,177869,"(40.654894084, -74.005378632)"
"10065",2015-04-01,"FELONY",996735,218074,"(40.765238586, -73.954930781)"
"11385",2015-04-01,"FELONY",1023107,196446,"(40.705798554, -73.859853263)"
"11201",2015-04-01,"MISDEMEANOR",987801,192258,"(40.694388072, -73.987196009)"
"10306",2015-04-01,"FELONY",948191,146485,"(40.568678253, -74.129790908)"
"11233",2015-04-01,"FELONY",1008074,187410,"(40.681050076, -73.914105717)"
"11233",2015-04-01,"FELONY",1008074,187410,"(40.681050076, -73.914105717)"
"11106",2015-04-01,"VIOLATION",1003172,218076,"(40.765232642, -73.931693307)"
"11365",2015-04-01,"VIOLATION",1035587,207674,"(40.736553038, -73.814755278)"
"11208",2015-04-01,"VIOLATION",1019407,184340,"(40.672585871, -73.873261458)"
"11224",2015-04-01,"MISDEMEANOR",983408,149079,"(40.575871566, -74.003032428)"
"10036",2015-04-01,"FELONY",986131,218090,"(40.765291116, -73.993211061)"
"10027",2015-04-01,"MISDEMEANOR",996279,235478,"(40.813008529, -73.956545769)"
"11233",2015-04-01,"VIOLATION",1007564,188288,"(40.683461344, -73.915941447)"
"11378",2015-04-01,"MISDEMEANOR",1009293,200801,"(40.717801867, -73.909660912)"
"11378",2015-04-01,"MISDEMEANOR",1008615,200079,"(40.715822044, -73.912109352)"
"11378",2015-04-01,"MISDEMEANOR",1009293,200801,"(40.717801867, -73.909660912)"
"11378",2015-04-01,"MISDEMEANOR",1009293,200801,"(40.717801867, -73.909660912)"
"11378",2015-04-01,"MISDEMEANOR",1008870,200492,"(40.716954924, -73.911187979)"
"11378",2015-04-01,"MISDEMEANOR",1008870,200492,"(40.716954924, -73.911187979)"
"11378",2015-04-01,"MISDEMEANOR",1008832,201467,"(40.719631169, -73.911321498)"
"11378",2015-04-01,"MISDEMEANOR",1008832,201467,"(40.719631169, -73.911321498)"
"11378",2015-04-01,"MISDEMEANOR",1008832,201467,"(40.719631169, -73.911321498)"
"11378",2015-04-01,"MISDEMEANOR",1008832,201467,"(40.719631169, -73.911321498)"
"11378",2015-04-01,"MISDEMEANOR",1008666,201825,"(40.720614252, -73.911919047)"
"11378",2015-04-01,"MISDEMEANOR",1008666,201825,"(40.720614252, -73.911919047)"
"11379",2015-04-01,"MISDEMEANOR",1012697,197027,"(40.707432851, -73.897397223)"
"11378",2015-04-01,"MISDEMEANOR",1008674,201700,"(40.720271135, -73.91189064)"
"11378",2015-04-01,"MISDEMEANOR",1008674,201700,"(40.720271135, -73.91189064)"
"11378",2015-04-01,"MISDEMEANOR",1008615,200079,"(40.715822044, -73.912109352)"
"11378",2015-04-01,"MISDEMEANOR",1009293,200801,"(40.717801867, -73.909660912)"
"10314",2015-04-01,"MISDEMEANOR",939460,153570,"(40.588085346, -74.161263839)"
"10314",2015-04-01,"MISDEMEANOR",939460,153570,"(40.588085346, -74.161263839)"
"10314",2015-04-01,"MISDEMEANOR",939666,153411,"(40.587649961, -74.160521108)"
"10473",2015-04-01,"MISDEMEANOR",1023380,239329,"(40.823499964, -73.858618987)"
"10010",2015-04-01,"MISDEMEANOR",988055,209541,"(40.741825658, -73.986270281)"
"10035",2015-04-01,"MISDEMEANOR",1000883,232722,"(40.805436606, -73.939920299)"
"10035",2015-04-01,"MISDEMEANOR",1000883,232722,"(40.805436606, -73.939920299)"
"10029",2015-04-01,"MISDEMEANOR",1001742,230128,"(40.798315128, -73.936824207)"
"10035",2015-04-01,"MISDEMEANOR",1000883,232722,"(40.805436606, -73.939920299)"
"10029",2015-04-01,"MISDEMEANOR",1001408,229525,"(40.796660712, -73.938032081)"
"10035",2015-04-01,"MISDEMEANOR",1001692,231504,"(40.802091971, -73.937001222)"
