"ZIP","Borough","HousCond","Sani","NoiseResid","NoiseConst","NoiseBiz","UrbInf","Traffic","NoiseTraf","WaterSyst","ConsumProt","SocServ","IAO","EnvProt","Violation","Misdemeanor","Felony","medianInc","jlBenef"
11226,"Brooklyn",21,73,324,12,143,84,140,39,67,30,32,25,38,68,256,167,25135,3320
11228,"Brooklyn",5,39,31,2,6,67,82,5,38,5,3,18,22,15,87,70,34935,910
11229,"Brooklyn",13,81,106,10,5,123,140,12,53,19,14,41,73,37,150,104,34534,1670
11230,"Brooklyn",14,94,119,10,14,104,190,23,50,13,16,33,129,20,98,62,30873,1470
11231,"Brooklyn",18,53,56,27,20,75,59,15,40,24,4,27,76,20,137,76,58125,970
11232,"Brooklyn",5,46,56,3,24,58,58,14,35,19,4,10,45,28,103,69,23730,520
11233,"Brooklyn",20,96,127,9,13,51,50,29,50,10,13,28,29,193,705,362,26001,1980
11234,"Brooklyn",15,77,117,5,28,162,204,8,86,22,11,53,124,83,282,225,40849,2320
11235,"Brooklyn",16,65,94,14,7,110,129,8,84,21,25,49,103,26,112,82,31305,1630
11236,"Brooklyn",11,84,71,1,3,89,130,8,105,22,13,24,147,58,172,101,31134,3020
11237,"Brooklyn",12,28,134,23,31,35,62,50,27,7,5,18,17,1,1,1,24602,1250
11238,"Brooklyn",28,60,177,25,52,49,70,46,36,14,18,20,39,29,139,96,48155,1650
11239,"Brooklyn",2,2,18,0,0,13,1,0,2,2,4,2,4,3,56,16,32091,390
11249,"Brooklyn",23,36,72,30,58,50,45,35,18,14,0,18,18,22,159,119,NA,NA
11251,"Brooklyn",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA
11354,"Queens",12,36,51,7,2,87,67,9,43,24,3,54,41,19,54,39,21044,910
11355,"Queens",11,60,53,13,16,58,114,5,30,17,17,61,26,33,193,112,18164,1120
11356,"Queens",15,50,34,4,5,58,82,24,29,7,5,15,16,12,42,25,27203,610
11357,"Queens",8,50,29,6,1,103,60,8,64,5,3,37,84,13,18,16,50405,890
11358,"Queens",7,49,17,4,5,85,107,2,40,4,4,32,66,2,24,15,34673,670
11359,"Queens",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
11360,"Queens",1,10,9,4,1,27,16,3,18,1,2,27,21,3,11,10,62158,380
11361,"Queens",1,33,15,2,5,81,44,2,28,7,1,33,48,8,48,44,42554,560
11362,"Queens",2,20,2,13,1,122,17,2,23,3,1,36,26,2,14,10,53862,330
11363,"Queens",2,10,2,2,0,16,14,0,41,2,3,7,9,0,2,1,60465,100
11364,"Queens",5,30,15,1,0,47,27,0,30,6,5,28,34,5,9,20,45846,660
11365,"Queens",3,44,54,2,1,78,75,3,75,1,9,24,40,13,53,28,36143,1090
11366,"Queens",3,23,11,2,0,38,36,2,53,3,0,14,19,7,26,10,41797,240
11367,"Queens",5,38,48,3,6,55,40,1,11,10,2,30,27,5,29,13,34670,770
11368,"Queens",3,49,108,0,18,58,178,14,43,11,12,69,51,35,189,111,20607,1850
11369,"Queens",2,27,66,2,1,32,113,3,12,22,5,24,13,7,55,24,23846,840
11370,"Queens",0,20,23,0,2,42,63,4,24,8,2,21,26,4,59,54,27303,540
11371,"Queens",0,0,0,0,0,1,1,0,0,2,0,0,0,2,22,10,NA,NA
11372,"Queens",10,26,129,5,36,64,67,24,22,26,20,33,40,24,154,70,25907,1510
11373,"Queens",5,66,128,6,6,61,115,7,29,29,16,55,19,31,270,116,22001,1720
11374,"Queens",14,18,72,15,3,97,100,4,16,8,10,25,48,14,47,18,41258,1020
11375,"Queens",20,47,62,11,6,124,81,5,51,18,24,79,65,18,72,39,59592,1540
11377,"Queens",10,107,109,16,20,104,170,16,35,22,12,44,40,46,166,84,25912,1940
11378,"Queens",4,35,38,6,4,93,117,3,58,7,4,36,41,14,46,18,36506,1040
11379,"Queens",4,29,31,4,0,49,89,5,41,8,1,31,54,18,116,37,46604,980
11385,"Queens",2,94,110,13,31,132,236,19,57,20,9,63,97,43,197,120,30885,2880
11411,"Queens",3,16,6,0,4,18,24,18,27,2,2,9,29,10,25,18,38599,570
11412,"Queens",4,33,33,0,5,48,39,13,52,6,3,16,41,10,36,32,32419,1050
11413,"Queens",4,33,22,2,3,49,37,6,68,5,0,21,48,5,21,16,35461,1110
11414,"Queens",6,40,22,0,4,62,36,1,58,4,9,26,131,21,80,32,49081,780
11415,"Queens",2,12,58,3,13,30,32,4,29,3,10,6,13,6,16,12,45327,460
11416,"Queens",1,17,39,1,7,21,78,5,13,6,0,27,36,29,119,64,24104,710
11417,"Queens",1,29,31,1,12,37,77,6,20,3,2,31,40,6,13,11,29508,930
11418,"Queens",5,29,39,4,13,38,102,13,56,8,7,27,40,18,74,56,27102,930
11419,"Queens",12,40,129,7,10,52,142,32,66,15,5,52,36,38,134,73,23527,1050
11420,"Queens",8,26,55,0,5,57,118,11,62,17,6,44,71,18,71,49,29318,1130
11421,"Queens",2,16,69,3,12,47,128,7,28,7,4,22,46,16,54,30,27144,1190
11422,"Queens",3,32,15,2,4,33,29,4,53,5,5,14,36,20,56,45,36361,870
11423,"Queens",5,35,41,2,17,42,56,7,21,4,8,22,21,19,32,30,31312,780
11426,"Queens",0,17,12,2,2,46,15,0,20,1,1,19,23,11,18,26,43238,360
11427,"Queens",2,16,19,1,0,35,25,1,15,3,4,16,16,4,23,12,39305,510
11428,"Queens",0,14,35,0,4,18,24,16,43,3,1,10,18,10,20,25,33907,530
11429,"Queens",6,16,45,1,4,21,41,2,28,5,6,22,26,21,55,38,31918,690
